watch_id,brand,model,reference_number,reference_key,display_name,search_text,year,production_years,movement,case_material,case_size,condition,market_price_usd,market_price_source,market_price_updated_at,auction_price_usd,auction_house,auction_date,auction_lot_url,shop_sources,source_count,source_urls,data_quality,notes,updated_at
a_lange_s_hne_0173577284084,A. Lange & Söhne,,0173577284084,0173577284084,A. Lange & Söhne 0173577284084,A LANGE S HNE 0173577284084 0173577284084 A LANGE S HNE 0173577284084 40 MM,,,,,40 mm,,1450,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,1,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,low,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_01737772140310782179,A. Lange & Söhne,,0173777214031-0782179,01737772140310782179,A. Lange & Söhne 0173777214031-0782179,A LANGE S HNE 0173777214031 0782179 01737772140310782179 A LANGE S HNE 0173777214031 0782179 40 MM,,,,,40 mm,,1671,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,1,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,low,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_0174377097184,A. Lange & Söhne,,0174377097184,0174377097184,A. Lange & Söhne 0174377097184,A LANGE S HNE 0174377097184 0174377097184 A LANGE S HNE 0174377097184 46 MM,,,,,46 mm,,2248,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,1,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,low,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_0174377097184setrs,A. Lange & Söhne,,0174377097184-SETRS,0174377097184SETRS,A. Lange & Söhne 0174377097184-SETRS,A LANGE S HNE 0174377097184 SETRS 0174377097184SETRS A LANGE S HNE 0174377097184 SETRS 46 MM,,,,,46 mm,,2906,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,1,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,low,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_0174377344184,A. Lange & Söhne,,0174377344184,0174377344184,A. Lange & Söhne 0174377344184,A LANGE S HNE 0174377344184 0174377344184 A LANGE S HNE 0174377344184 43 5 MM,,,,,43.5 mm,,1838,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,2,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,low,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_0174377344184setmb,A. Lange & Söhne,,0174377344184-SETMB,0174377344184SETMB,A. Lange & Söhne 0174377344184-SETMB,A LANGE S HNE 0174377344184 SETMB 0174377344184SETMB A LANGE S HNE 0174377344184 SETMB 43 5 MM,,,,,43.5 mm,,1900,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,3,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,medium,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_01748775640640782208,A. Lange & Söhne,,0174877564064-0782208,01748775640640782208,A. Lange & Söhne 0174877564064-0782208,A LANGE S HNE 0174877564064 0782208 01748775640640782208 A LANGE S HNE 0174877564064 0782208 44 MM,,,,,44 mm,,1454,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,1,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,low,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_01751769740650782019,A. Lange & Söhne,,0175176974065-0782019,01751769740650782019,A. Lange & Söhne 0175176974065-0782019,A LANGE S HNE 0175176974065 0782019 01751769740650782019 A LANGE S HNE 0175176974065 0782019 41 MM,,,,,41 mm,,1436,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,1,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,low,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_0175177614187,A. Lange & Söhne,,0175177614187,0175177614187,A. Lange & Söhne 0175177614187,A LANGE S HNE 0175177614187 0175177614187 A LANGE S HNE 0175177614187,,,,,,,2203,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,1,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,low,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_0175177614187set,A. Lange & Söhne,,0175177614187-SET,0175177614187SET,A. Lange & Söhne 0175177614187-SET,A LANGE S HNE 0175177614187 SET 0175177614187SET A LANGE S HNE 0175177614187 SET 41 MM,,,,,41 mm,,2320,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,2,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,low,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
